Date,Open,High,Low,Close,Volume,Adj Close
2006-12-04,91.88,92.33,86.90,88.26,27140400,86.40
2006-11-27,92.51,93.16,89.50,91.32,35240400,89.40
2006-11-20,85.40,93.08,85.20,91.63,21286400,89.70
2006-11-13,83.22,86.30,82.64,85.85,20395100,84.04
2006-11-06,78.95,84.69,78.43,83.12,21059600,81.37
2006-10-30,79.99,81.68,77.79,78.29,17928200,76.64
2006-10-23,79.99,82.60,79.75,80.41,20061800,78.72
2006-10-16,75.19,79.99,73.91,79.95,30542200,78.27
2006-10-09,73.80,76.88,72.60,75.02,20133700,73.44
2006-10-02,75.10,76.16,73.16,74.22,24880500,72.66
2006-09-25,73.81,77.78,73.72,76.98,27869500,75.36
2006-09-18,73.80,76.06,72.58,73.00,26409600,71.47
2006-09-11,72.43,74.98,71.42,74.10,39739500,72.54
2006-09-05,68.97,73.57,68.55,72.52,37057500,71.00
2006-08-28,68.50,68.65,65.12,68.38,23920200,66.94
2006-08-21,67.30,69.05,66.15,68.75,20275700,67.30
2006-08-14,64.05,68.66,63.60,67.91,24841100,66.48
2006-08-07,67.72,69.60,62.58,63.65,33389300,62.31
2006-07-31,66.83,70.00,64.96,68.30,34637700,66.86
2006-07-24,61.26,65.68,60.43,65.59,25977900,64.21
2006-07-17,51.73,61.59,51.65,60.72,44855500,59.44
2006-07-10,55.70,56.49,50.16,50.67,32318800,49.60
2006-07-03,57.52,58.18,54.67,55.40,19156900,54.24
2006-06-26,59.17,59.22,55.41,57.27,24863900,56.07
2006-06-19,57.83,60.17,57.00,58.83,27619100,57.59
2006-06-12,59.40,59.74,56.69,57.56,33607500,56.35
2006-06-05,61.15,61.56,57.15,59.24,30397500,57.99
2006-05-30,63.29,63.30,58.69,61.66,31006000,60.36
2006-05-22,63.87,65.19,61.56,63.55,23041000,62.21
2006-05-15,67.37,68.38,62.82,64.51,27603000,63.15
2006-05-08,72.99,73.80,66.86,67.70,21720500,66.28
2006-05-01,70.77,72.89,69.16,71.89,25952600,70.38
2006-04-24,66.85,71.30,65.50,70.39,25378300,68.91
2006-04-17,66.51,70.00,64.35,67.04,36134100,65.63
2006-04-10,70.29,70.93,65.81,66.47,29619600,65.07
2006-04-03,63.67,72.05,61.05,69.79,58500900,68.32
2006-03-27,60.35,63.61,57.67,62.72,50223100,61.40
2006-03-20,65.22,65.46,59.03,59.96,41392200,58.70
2006-03-13,65.05,68.04,64.11,64.66,28263400,63.30
2006-03-06,67.69,67.72,62.45,63.19,30580300,61.86
2006-02-27,71.99,72.40,67.53,67.72,29892700,66.30
2006-02-21,70.59,73.00,68.00,71.46,28120600,69.96
2006-02-13,66.63,71.01,64.64,70.29,33774100,68.81
2006-02-06,72.02,72.51,62.90,67.31,49313900,65.89
2006-01-30,71.17,76.60,70.87,71.85,30232600,70.34
2006-01-23,76.10,79.56,71.10,72.03,40093000,70.52
2006-01-17,85.70,86.38,75.83,76.09,43454100,74.49
2006-01-09,76.73,86.40,75.74,85.59,46470100,83.79
2006-01-03,72.38,76.70,72.25,76.30,23042100,74.70
2005-12-27,74.00,75.18,70.34,71.89,18776700,70.38
2005-12-19,71.11,74.49,71.04,73.35,14890000,71.81
2005-12-12,74.87,75.46,70.27,71.11,26441800,69.61
2005-12-05,71.95,74.83,71.49,74.33,24757500,72.77
2005-11-28,70.72,72.74,67.35,72.63,30102000,71.10
2005-11-21,64.82,69.54,63.72,69.34,17257600,67.88
2005-11-14,61.54,65.88,60.91,64.56,20660400,63.20
2005-11-07,60.85,62.11,59.01,61.54,19688000,60.25
2005-10-31,55.20,62.32,54.75,61.15,30785700,59.86
2005-10-24,55.25,57.56,54.17,54.47,20627100,53.32
2005-10-17,53.98,56.98,51.21,55.66,31354200,54.49
2005-10-10,51.76,54.35,47.87,54.00,52371400,52.86
2005-10-03,54.16,55.35,50.55,51.30,22094300,50.22
2005-09-26,54.03,54.56,50.59,53.61,22730600,52.48
2005-09-19,51.05,53.81,51.05,53.20,21860600,52.08
2005-09-12,51.10,51.63,49.33,51.21,17330400,50.13
2005-09-06,46.70,51.35,46.55,51.31,27678300,50.23
2005-08-29,45.27,47.17,45.26,46.22,12548200,45.25
2005-08-22,46.15,47.12,45.26,45.74,12805100,44.78
